"Step","silvery-pyramid-33 - train_loss","silvery-pyramid-33 - train_loss__MIN","silvery-pyramid-33 - train_loss__MAX"
"0","0.3621511161327362","0.3621511161327362","0.3621511161327362"
"1","0.24041372537612915","0.24041372537612915","0.24041372537612915"
"3","0.1922703981399536","0.1922703981399536","0.1922703981399536"
"4","0.15856698155403137","0.15856698155403137","0.15856698155403137"
"5","0.14752128720283508","0.14752128720283508","0.14752128720283508"
"7","0.14420530200004578","0.14420530200004578","0.14420530200004578"
"8","0.1264086663722992","0.1264086663722992","0.1264086663722992"
"9","0.12905289232730865","0.12905289232730865","0.12905289232730865"
"11","0.13592445850372314","0.13592445850372314","0.13592445850372314"
"12","0.10307490080595016","0.10307490080595016","0.10307490080595016"
"13","0.11504535377025604","0.11504535377025604","0.11504535377025604"
"15","0.10993187874555588","0.10993187874555588","0.10993187874555588"
"16","0.09390216320753098","0.09390216320753098","0.09390216320753098"
"17","0.09902976453304291","0.09902976453304291","0.09902976453304291"
"19","0.10031130164861679","0.10031130164861679","0.10031130164861679"
"20","0.0773727148771286","0.0773727148771286","0.0773727148771286"
"21","0.07329338788986206","0.07329338788986206","0.07329338788986206"
"23","0.08760063350200653","0.08760063350200653","0.08760063350200653"
"24","0.09414392709732056","0.09414392709732056","0.09414392709732056"
"25","0.07955758273601532","0.07955758273601532","0.07955758273601532"
"27","0.08144371211528778","0.08144371211528778","0.08144371211528778"
"28","0.08301030844449997","0.08301030844449997","0.08301030844449997"
"29","0.07826300710439682","0.07826300710439682","0.07826300710439682"
"31","0.07404476404190063","0.07404476404190063","0.07404476404190063"
"32","0.07560167461633682","0.07560167461633682","0.07560167461633682"
"33","0.09193287789821625","0.09193287789821625","0.09193287789821625"
"35","0.06198187917470932","0.06198187917470932","0.06198187917470932"
"36","0.05839354917407036","0.05839354917407036","0.05839354917407036"
"37","0.0772891491651535","0.0772891491651535","0.0772891491651535"
"39","0.0806855857372284","0.0806855857372284","0.0806855857372284"
"40","0.07193532586097717","0.07193532586097717","0.07193532586097717"
"41","0.0729796513915062","0.0729796513915062","0.0729796513915062"
"43","0.06736399978399277","0.06736399978399277","0.06736399978399277"
"44","0.06435167044401169","0.06435167044401169","0.06435167044401169"
"45","0.07829698920249939","0.07829698920249939","0.07829698920249939"
"47","0.07492431253194809","0.07492431253194809","0.07492431253194809"
"48","0.0648208037018776","0.0648208037018776","0.0648208037018776"
"49","0.06690626591444016","0.06690626591444016","0.06690626591444016"
"51","0.06223344802856445","0.06223344802856445","0.06223344802856445"
"52","0.060647279024124146","0.060647279024124146","0.060647279024124146"
"53","0.0593632310628891","0.0593632310628891","0.0593632310628891"
"55","0.062024474143981934","0.062024474143981934","0.062024474143981934"
"56","0.055749647319316864","0.055749647319316864","0.055749647319316864"
"57","0.06194484233856201","0.06194484233856201","0.06194484233856201"
"59","0.05664758011698723","0.05664758011698723","0.05664758011698723"
"60","0.05706572160124779","0.05706572160124779","0.05706572160124779"
"61","0.059969715774059296","0.059969715774059296","0.059969715774059296"
